TRDAR_NO,TRDAR_NM,SIGNGU_CD,SIGNGU_NM,LINK_CNT,MINM_TXTR,MAX_TXTR,AVE_TXTR
9138,공덕역_1,11440,마포구,49,75.5,1674.8,548.5
9139,공덕역_2,11440,마포구,61,7.1,1674.8,413.2
9140,디지털미디어시티,11440,마포구,84,36.3,671.7,210.9
9141,마포역_1,11440,마포구,55,52.3,1967.3,546
9142,마포역_2,11440,마포구,83,12.6,1967.3,377.7
9143,신촌역_1,11440,마포구,39,17.6,1682.3,635.9
9144,홍대입구역_1,11440,마포구,42,43.1,1920.4,652
9145,홍대입구역_2,11440,마포구,36,163.6,1636.8,669.1
9146,홍대입구역_3,11440,마포구,41,119.9,1764.1,773.7
9147,홍익대학교,11440,마포구,108,25.7,1920.4,716.1
9148,서대문역_1,11110,종로구,62,14.3,1672.7,345.6
9149,서대문역_2,11410,서대문구,80,16,1672.7,331.8
9150,신촌역_2,11410,서대문구,71,1.1,1682.3,524
9151,이대역,11410,서대문구,32,1.1,1682.3,455.8
9152,숙대입구역,11170,용산구,30,211.7,2084.7,694.3
9153,신용산역,11170,용산구,18,12.2,1441,671.9
9154,용산 전자상가_1,11170,용산구,108,11,1441,378.4
9155,용산 전자상가_2,11170,용산구,29,51.5,844.9,316
9156,용산 전자상가_3,11170,용산구,82,11,1375.9,313.9
9157,용산 전자상가_4,11170,용산구,54,14.1,1375.9,300.4
9158,용산 전자상가_5,11170,용산구,41,51.5,888,360.4
9159,용산구청,11170,용산구,25,47.8,2239.4,862.1
9160,이태원역,11170,용산구,39,122.6,2163.5,638.2
9161,한남오거리,11170,용산구,41,44.7,2637.8,641.4
9162,불광역_1,11380,은평구,38,72.4,884.7,434.4
9163,연신내역_1,11380,은평구,20,78.5,1053.6,545.1
9164,연신내역_2,11380,은평구,30,78.5,1053.6,438.6
9165,연신내역_3,11380,은평구,18,78.5,1053.6,535.6
9166,경복궁역_1,11110,종로구,44,22.3,1076.9,329.5
9167,경복궁역_2,11110,종로구,30,62.6,1076.9,394.5
9168,광화문역_1,11110,종로구,82,18.3,1086.5,334.1
9169,광화문역_2,11110,종로구,137,18.3,1086.5,303
9170,동대문시장_1,11110,종로구,60,18.8,1744.8,364.1
9171,동대문역_1,11110,종로구,27,96.1,1744.8,663.1
9172,동대문역_2,11110,종로구,47,18.8,1744.8,509.4
9173,안국역,11110,종로구,22,84.6,1703.9,467.7
9174,인사동,11110,종로구,98,52.8,1703.9,484.4
9175,종각역,11110,종로구,61,57.9,1179.4,395.2
9176,종각역 젊음의거리,11110,종로구,74,96,1292,467.5
9177,종로3가역_1,11110,종로구,58,64.8,1292,427.3
9178,종로3가역_2,11110,종로구,58,52.8,1292,377.8
9179,종로3가역_3,11110,종로구,28,81.9,1101.3,366.3
9180,종로5가역_1,11110,종로구,50,59.3,1088.1,293.1
9181,종로5가역_2,11110,종로구,59,59.3,1088.1,392.9
9182,종로5가역_3,11110,종로구,62,25.7,1744.8,391
9183,종로5가역_4,11110,종로구,39,59.3,1088.1,399.7
9184,종로구청,11110,종로구,133,27.7,1703.9,403.2
9185,종묘앞_1,11110,종로구,42,59.3,1088.1,306.3
9186,종묘앞_2,11110,종로구,36,59.3,933.4,258.6
9187,종묘앞_3,11110,종로구,35,59.3,1101.3,317.2
9188,혜화역 대학로_1,11110,종로구,25,122.3,1114.1,503.8
9189,혜화역 대학로_2,11110,종로구,23,122.3,1114.1,506.1
9190,혜화역 대학로_3,11110,종로구,28,122.3,1114.1,527.7
9191,남대문시장,11140,중구,71,88.6,1846,562.6
9192,동대문시장_2,11140,중구,75,15.2,1744.8,328.8
9193,동대문역사문화공원역,11140,중구,81,83.5,976,320.1
9194,롯데백화점 본점,11140,중구,88,77,1746.3,555.3
9195,명동,11140,중구,127,21.2,1846,542.3
9196,명동역,11140,중구,75,21.2,1846,532.9
9197,북창동,11140,중구,69,77,1746.3,479.5
9198,서울시청,11140,중구,95,27.4,1086.5,428.3
9199,시청역_1,11140,중구,100,72.5,1746.3,452.6
9200,시청역_2,11140,중구,136,9.1,1672.7,366.3
9201,신당역_1,11140,중구,48,14.5,1232.4,313.1
9202,신당역_2,11140,중구,60,18.8,1232.4,292
9203,약수역,11140,중구,28,67.1,1623.2,471.3
9204,을지로3가역_1,11140,중구,66,48,1177.3,386.8
9205,을지로3가역_2,11140,중구,79,54,1177.3,378.5
9206,을지로4가역,11140,중구,53,60.9,1088.1,313.9
9207,장충동 족발거리,11140,중구,27,116.7,968,472.5
9208,충무로역_1,11140,중구,52,22.9,1739.6,432.3
9209,충무로역_2,11140,중구,80,21.2,1739.6,398.5
9210,강서구청,11500,강서구,70,52.1,1833,370.6
9211,발산역,11500,강서구,86,7.3,763.6,185.5
9212,송정역,11500,강서구,25,63.9,1455,550.7
9213,가리봉시장(구로디지털오거리),11530,구로구,37,93.9,1347.2,632.7
9214,가산디지털단지역_2,11545,금천구,71,16.1,1366.2,397.7
9215,가산디지털단지역_3,11545,금천구,88,96.7,1366.2,509.3
9216,개봉동 현대아파트,11530,구로구,56,7.1,1748,268.3
9217,구로기계공구상_1,11530,구로구,47,46.4,1081.9,403.8
9218,구로기계공구상_2,11530,구로구,34,57.4,1003,388.7
9219,디지털단지오거리,11530,구로구,37,164.8,1347.2,655.1
9220,구로역,11530,구로구,40,20.9,1003,235.9
9221,구로중앙유통단지,11530,구로구,35,51.7,1152.4,463.3
9222,대림역,11530,구로구,49,27.1,1072.9,280.9
9223,신도림역,11530,구로구,82,24.3,1068.6,305.2
9224,오류동,11530,구로구,34,30.4,1954.6,428.9
9225,가산디지털단지역_1,11545,금천구,92,18.2,1553.8,374.1
9226,독산1동,11545,금천구,60,28.3,1144.4,391.5
9227,시흥1동,11545,금천구,32,118.3,1056.7,496.2
9229,시흥4동,11545,금천구,18,7.4,964.5,214.4
9230,등촌역,11470,양천구,36,10.1,1337.4,389.9
9231,목동 현대백화점,11470,양천구,54,52.5,3233.5,447.8
9232,목동사거리,11470,양천구,20,142.2,3233.5,778
9233,신정네거리역,11470,양천구,29,13.4,633.8,219.5
9234,오목교역,11470,양천구,34,101.9,1254.6,441.3
9235,국회의사당역_1,11560,영등포구,30,91.7,1203.6,430.6
9236,국회의사당역_2,11560,영등포구,51,29.7,1203.6,361.6
9237,당산역_1,11560,영등포구,46,22.6,1202.6,380
9238,당산역_2,11560,영등포구,65,54.5,1303.5,477.6
9239,문래동 주민센터,11560,영등포구,91,13.4,1229.1,236.8
9240,여의도역_1,11560,영등포구,112,25,1427.8,386.9
9241,여의도역_2,11560,영등포구,82,45.8,1242,458.9
9242,영등포구청역,11560,영등포구,23,75.2,1403.8,453.1
9243,영등포시장역,11560,영등포구,66,24.5,1753.7,486.9
9244,영등포역_1,11560,영등포구,69,16.6,1753.7,491.8
9245,영등포역_2,11560,영등포구,64,24.8,1753.7,541.2
9246,영등포역_3,11560,영등포구,73,13.6,1497,355.4
9247,영등포유통상가,11560,영등포구,50,31.9,736.6,255.2
9248,고덕역,11740,강동구,32,41.3,486.3,192
9249,길동역,11740,강동구,54,51.3,1150.7,504.9
9250,둔촌동역,11740,강동구,32,25.1,1150.7,361.9
9251,명일역,11740,강동구,25,13.8,752.2,344.2
9252,천호역_1,11740,강동구,40,146.9,1744.3,558.9
9253,천호역_2,11740,강동구,66,55.8,1744.3,507.5
9254,강변테크노마트,11215,광진구,18,62.7,641,386.4
9255,건대입구역_1,11215,광진구,35,33.5,1901.9,677.8
9256,건대입구역_2,11215,광진구,17,33.5,1901.9,670.6
9257,구의역,11215,광진구,31,122.6,1551.8,473.4
9258,군자역,11215,광진구,38,61.8,1096.3,482.2
9259,어린이대공원,11215,광진구,24,239.5,1901.9,903.4
9261,왕십리역_1,11200,성동구,44,67.1,1486,348.5
9262,왕십리역_2,11200,성동구,48,35.7,1486,292.1
9263,장안평 중고차시장골목,11200,성동구,65,9.7,1168.1,382.7
9264,한양시장,11200,성동구,39,40.1,909.6,296.7
9265,석촌역,11710,송파구,12,128.8,1011.7,681.2
9266,사가정역,11260,중랑구,16,159.1,791.3,416.7
9267,가락시장,11710,송파구,66,6.3,943.3,428.8
9268,가락시장역,11710,송파구,50,6.3,943.3,343.3
9269,문정역,11710,송파구,34,62.2,943.3,333.9
9270,방이동 먹자골목,11710,송파구,35,51.5,1588.7,541.4
9271,신천역,11710,송파구,49,73.1,1416.3,481.4
9272,잠실역,11710,송파구,34,66.4,1737.8,688.6
9273,잠실역 롯데월드,11710,송파구,33,131.4,1737.8,687.3
9274,장지역,11710,송파구,53,37.5,1876.6,368.8
9275,강남구청역_1,11680,강남구,98,10.4,1999,381.1
9276,강남구청역_2,11680,강남구,60,19.2,1731.8,473.1
9277,강남역_3,11680,강남구,63,43.4,4055,1077.5
9278,강남역_4,11680,강남구,61,43.4,4055,922.8
9279,논현역_1,11680,강남구,56,136.4,4055,1054.4
9280,논현역_2,11680,강남구,25,136.4,2753.6,940.1
9281,논현역_3,11650,서초구,58,191.1,4055,1038.3
9282,논현역_4,11650,서초구,43,145.9,2753.6,1018.5
9283,대치역_1,11680,강남구,39,5.5,1255.7,312.8
9284,대치역_2,11680,강남구,44,5.5,1201.5,321.8
9285,도산공원사거리_1,11680,강남구,55,44.5,2457.3,891.4
9287,뱅뱅사거리,11680,강남구,50,123,1486.7,634.6
9288,삼성역_1,11680,강남구,76,35.3,2050.4,656.5
9289,삼성역_2,11680,강남구,55,51.6,2050.4,585.3
9290,삼성역_3,11680,강남구,60,49.9,2050.4,545
9291,선릉역_1,11680,강남구,80,10.7,2072.5,599.9
9292,선릉역_2,11680,강남구,87,10.7,2072.5,629.1
9293,선릉역_3,11680,강남구,52,44,1585.2,557.4
9294,선릉역_4,11680,강남구,104,10.7,1752,465.4
9295,선정릉역_1,11680,강남구,20,148.2,1175.2,652.2
9296,선정릉역_2,11680,강남구,38,24.6,1175.2,386.1
9297,수서역,11680,강남구,47,11.3,2079.4,434.4
9298,신사동가로수길_1,11680,강남구,35,132.2,2432,870.7
9299,신사역_1,11650,서초구,36,79.9,2896.2,1005.9
9300,신사역_2,11680,강남구,66,37,2508.7,998.2
9301,압구정 로데오거리_1,11680,강남구,71,46.4,1779.7,710.1
9302,압구정 로데오거리_2,11680,강남구,104,21,2010.1,722.1
9303,압구정역,11680,강남구,102,44.5,2457.3,726.3
9304,양재역_2,11680,강남구,44,14.6,1544.5,448
9305,언주역_1,11680,강남구,40,21.6,2448.9,939.2
9306,언주역_2,11680,강남구,24,216.8,2448.9,1226.5
9307,역삼역_1,11680,강남구,66,43.4,2990.5,853
9308,역삼역_2,11680,강남구,70,42.6,2072.5,786.7
9309,역삼역_3,11680,강남구,30,191.2,1291.6,671.2
9310,역삼역_4,11680,강남구,82,21.6,2072.5,794.8
9312,은마아파트입구사거리_1,11680,강남구,26,32.2,610.6,338.1
9313,은마아파트입구사거리_2,11680,강남구,20,60.6,628.2,389.4
9314,은마아파트입구사거리_3,11680,강남구,20,60.6,610.6,375.4
9315,은마아파트입구사거리_4,11680,강남구,20,60.6,628.2,389.4
9316,청담사거리_1,11680,강남구,24,134.6,1715.7,811.8
9317,청담사거리_2,11680,강남구,24,134.6,1773.7,829.4
9318,청담사거리_3,11680,강남구,35,134.6,2574.6,916.4
9319,청담역_1,11680,강남구,26,198.3,2574.6,959.8
9320,청담역_2,11680,강남구,27,198.3,2574.6,942.2
9321,코엑스,11680,강남구,64,35.3,2050.4,702
9322,포스코사거리_1,11680,강남구,47,44,1752,712.1
9323,포스코사거리_2,11680,강남구,43,35.3,2050.4,859.3
9324,포이사거리,11680,강남구,31,45.4,566.1,224
9325,포이사거리_2,11650,서초구,37,45.4,566.1,206.9
9326,학동사거리_1,11680,강남구,54,21,2010.1,791.5
9327,학동사거리_2,11680,강남구,33,77.6,1779.7,751.7
9328,학동역_1,11680,강남구,30,128,2206.4,655.3
9329,학동역_2,11680,강남구,48,128,2206.4,766.4
9330,학동역_3,11680,강남구,44,128,2206.4,731.3
9331,학동역_4,11680,강남구,26,128,2206.4,687.8
9332,한티역,11680,강남구,52,16.5,659.1,267.2
9333,대학동,11620,관악구,36,30.1,536.1,204
9334,사당역_1,11620,관악구,34,37.7,1994.5,727.7
9335,사당역_2,11590,동작구,44,37.2,1994.5,687
9336,서울대입구역_1,11620,관악구,25,156.4,2133.7,845.7
9337,서울대입구역_2,11620,관악구,43,17.6,2133.7,633.8
9338,신림역_1,11620,관악구,42,68.9,1717.1,602.7
9339,신림역_2,11620,관악구,33,96.9,1587.5,566.3
9340,신림역_3,11620,관악구,33,68.9,1717.1,744.7
9341,신림역_4,11620,관악구,39,39.3,1990.3,683.3
9342,노량진1동,11590,동작구,29,32.8,1255.8,449.4
9343,노량진역,11590,동작구,18,47.5,740.4,366.5
9344,보라매공원,11590,동작구,35,68.5,1473.9,522.5
9345,신대방삼거리역,11590,동작구,56,33.1,1041.9,287.1
9346,총신대 앞,11590,동작구,18,20.3,479.6,145.7
9347,총신대입구역_1,11590,동작구,40,24.6,1206.4,560.6
9348,강남역_1,11650,서초구,63,43.7,2990.5,762.3
9349,강남역_2,11650,서초구,65,182.9,4055,1028.6
9350,고속터미널역,11650,서초구,48,69.7,2662.4,880.6
9351,교대역_1,11650,서초구,69,44.3,2054.6,539.4
9352,교대역_2,11650,서초구,32,126.7,2059.9,671.3
9353,교대역_3,11650,서초구,34,98.2,2054.6,578.8
9354,교대역_4,11650,서초구,42,92.5,2059.9,551.3
9355,남부터미널역_1,11650,서초구,43,10.6,1296.1,343.4
9356,남부터미널역_2,11650,서초구,47,66.1,1018.9,451.5
9357,남부터미널역_3,11650,서초구,38,19.5,774.9,355.4
9358,매봉역,11680,강남구,27,86.7,1054.2,502
9359,방배동카페골목,11650,서초구,22,43.4,1123.4,513.9
9360,방배역,11650,서초구,26,17.2,634.3,216.5
9361,뱅뱅사거리_3,11650,서초구,45,132.8,1486.7,600.7
9362,사당역,11650,서초구,46,37.2,1994.5,599.3
9363,서초역,11650,서초구,28,98.2,1676,632.3
9364,양재 화물트럭터미널앞,11650,서초구,18,97.4,658.1,339.7
9365,양재동 꽃시장,11650,서초구,27,253.5,1743.1,554.9
9366,양재역_1,11650,서초구,23,142,1544.5,661.4
9367,양재역_3,11650,서초구,56,35.3,1544.5,569.2
9368,강남역_5,11680,강남구,66,21.6,2990.5,953.7
9369,서래마을,11650,서초구,20,31,1799.2,700
9370,신사동사로수길_2,11680,강남구,46,132.2,2896.2,1051.6
9372,서울대입구역_3,11620,관악구,38,121.5,2133.7,772.7
9374,미아사거리역_1,11305,강북구,66,76.7,1466.9,445
9375,수유역_1,11305,강북구,63,19.4,1387.5,415.2
9376,수유역_2,11305,강북구,56,19.4,1387.5,441.1
9377,수유역_3,11305,강북구,22,19.4,1211.6,433.3
9378,노원역_1,11350,노원구,64,82.2,1015.9,339.4
9379,노원역_2,11350,노원구,56,28.7,1015.9,346.8
9380,노원역_3,11350,노원구,98,10.1,1015.9,300.3
9381,등나무근린공원,11350,노원구,38,21.9,888.7,202.2
9382,창동역,11320,도봉구,63,10.1,813,233.2
9383,경동시장_1,11230,동대문구,50,3.4,890,253.9
9384,경동시장_2,11230,동대문구,56,3.4,890,224.9
9385,경희대학교,11230,동대문구,6,530.5,863.8,702.9
9386,신설동역_1,11230,동대문구,57,37.4,1351.5,284.7
9387,장안동사거리,11230,동대문구,106,14.7,679.5,182.6
9388,청량리역,11230,동대문구,45,41,938,318.2
9389,미아사거리,11290,성북구,46,30.1,1290.3,439
9390,미아사거리역_2,11290,성북구,39,76.7,1290.3,446.8
9391,성신여대입구역,11290,성북구,77,20.5,1507.6,277.4
9392,안암역,11290,성북구,18,56.9,628.5,332.8
9393,신설동역_2,11230,동대문구,52,6.7,1351.5,319.2
9394,장한평역_1,11230,동대문구,33,66.2,1086.2,396.7
9395,장한평역_2,11230,동대문구,61,9.7,1086.2,324.1